Location,Accident_Type,Latitude,Longitude,Date,Year,Month,Day,Hour,Minute
Suez,Vehicle Breakdown,23.022844,29.381348,2022-07-07,2022,7,7,11,32
Mansoura,Collision,26.068049,30.329299,2023-06-13,2023,6,13,1,46
Ismailia,Fire,26.122383,34.784157,2020-05-04,2020,5,4,15,54
Suez,Pedestrian Accident,28.174877,31.941613,2022-06-27,2022,6,27,2,57
Alexandria,Fire,27.474677,29.394093,2021-07-17,2021,7,17,19,40
Mansoura,Vehicle Breakdown,28.409375,31.285426,2023-05-08,2023,5,8,16,18
Port Said,Vehicle Breakdown,27.448841,29.595071,2023-12-08,2023,12,8,3,54
Ismailia,Overturn,25.870629,34.328546,2022-04-27,2022,4,27,10,52
Port Said,Pedestrian Accident,25.743907,29.570515,2022-05-24,2022,5,24,10,42
Luxor,Fire,30.582333,33.120926,2022-08-29,2022,8,29,2,5
Alexandria,Collision,25.886889,33.467534,2022-02-02,2022,2,2,4,35
Cairo,Vehicle Breakdown,30.609622,32.3701,2023-10-04,2023,10,4,3,26
Aswan,Pedestrian Accident,29.812829,33.326364,2021-08-12,2021,8,12,19,19
Aswan,Collision,27.201267,30.276433,2023-09-06,2023,9,6,15,14
Alexandria,Fire,29.608361,31.205366,2024-04-10,2024,4,10,8,36
Sharm El Sheikh,Pedestrian Accident,29.606396,34.84728,2024-08-03,2024,8,3,19,39
Ismailia,Collision,27.480954,32.946987,2023-11-21,2023,11,21,8,1
Giza,Fire,28.324289,30.853908,2021-11-26,2021,11,26,11,0
Giza,Overturn,27.09689,31.404706,2020-10-17,2020,10,17,23,40
Cairo,Collision,28.715006,30.290797,2022-05-09,2022,5,9,14,21
Giza,Fire,24.804736,30.946297,2023-03-08,2023,3,8,19,5
Cairo,Overturn,23.416689,32.707029,2023-10-12,2023,10,12,2,17
Port Said,Pedestrian Accident,26.370955,31.652265,2021-07-13,2021,7,13,6,48
Ismailia,Collision,25.106556,29.665339,2023-10-20,2023,10,20,21,37
Port Said,Vehicle Breakdown,28.004193,29.272504,2022-03-20,2022,3,20,19,3
Cairo,Overturn,24.712774,30.267404,2020-10-08,2020,10,8,8,18
Aswan,Collision,22.069569,33.482085,2020-12-25,2020,12,25,4,24
Ismailia,Overturn,26.502361,34.000125,2024-07-09,2024,7,9,11,4
Suez,Collision,25.925976,31.758526,2020-06-08,2020,6,8,10,36
Suez,Vehicle Breakdown,25.639806,32.84085,2021-08-15,2021,8,15,3,25
Cairo,Fire,23.546859,34.685686,2022-07-31,2022,7,31,22,58
Aswan,Collision,25.930406,29.635179,2022-06-11,2022,6,11,18,25
Ismailia,Collision,25.5619,30.861647,2021-11-26,2021,11,26,7,21
Giza,Collision,26.59435,29.68416,2022-11-10,2022,11,10,6,57
Aswan,Fire,28.546412,33.913692,2024-07-27,2024,7,27,4,15
Alexandria,Overturn,24.303714,30.040994,2020-11-09,2020,11,9,20,4
Giza,Pedestrian Accident,26.175578,32.382413,2023-04-01,2023,4,1,14,43
Mansoura,Vehicle Breakdown,24.908874,34.825838,2021-10-09,2021,10,9,4,28
Alexandria,Pedestrian Accident,25.979873,30.816923,2021-07-16,2021,7,16,18,3
Aswan,Vehicle Breakdown,22.667716,31.770455,2020-03-18,2020,3,18,1,23
Luxor,Collision,27.801998,34.864211,2020-07-03,2020,7,3,19,38
Ismailia,Pedestrian Accident,26.164405,32.325898,2024-06-09,2024,6,9,23,57
Cairo,Pedestrian Accident,30.18145,32.42994,2021-01-20,2021,1,20,10,38
Port Said,Vehicle Breakdown,23.35775,29.371242,2020-07-30,2020,7,30,10,45
Alexandria,Vehicle Breakdown,27.815144,29.234853,2023-12-20,2023,12,20,14,28
Ismailia,Vehicle Breakdown,27.488249,31.183388,2021-08-02,2021,8,2,12,26
Aswan,Vehicle Breakdown,22.47129,32.785319,2021-11-16,2021,11,16,2,21
Alexandria,Vehicle Breakdown,28.105414,30.704882,2024-01-22,2024,1,22,21,58
Mansoura,Overturn,25.000258,32.496437,2020-10-16,2020,10,16,11,19
Suez,Overturn,27.355371,34.628013,2021-09-26,2021,9,26,17,24
Aswan,Overturn,28.031048,33.973754,2024-02-22,2024,2,22,21,58
Ismailia,Collision,27.814223,31.540438,2022-01-11,2022,1,11,0,23
Luxor,Overturn,30.560524,31.050394,2024-04-18,2024,4,18,15,12
Sharm El Sheikh,Overturn,23.394507,30.774753,2024-06-02,2024,6,2,3,32
Ismailia,Vehicle Breakdown,22.339727,31.020586,2024-04-18,2024,4,18,19,8
Mansoura,Pedestrian Accident,23.388275,30.085076,2023-11-19,2023,11,19,19,51
Giza,Pedestrian Accident,22.393232,31.185796,2024-01-13,2024,1,13,7,28
Mansoura,Fire,28.77152,33.702802,2021-04-24,2021,4,24,17,15
Luxor,Pedestrian Accident,30.135769,30.164097,2023-10-21,2023,10,21,18,28
Port Said,Fire,29.003116,32.01744,2022-05-07,2022,5,7,5,52
Sharm El Sheikh,Vehicle Breakdown,23.245587,30.500019,2023-08-06,2023,8,6,15,55
Aswan,Vehicle Breakdown,30.408642,33.268406,2022-11-22,2022,11,22,3,18
Alexandria,Overturn,24.455122,34.431837,2020-10-28,2020,10,28,13,5
Sharm El Sheikh,Pedestrian Accident,29.961668,34.582832,2022-04-29,2022,4,29,1,25
Ismailia,Fire,24.122003,34.967152,2022-02-06,2022,2,6,7,1
Aswan,Collision,29.552587,32.899764,2024-06-08,2024,6,8,4,8
Cairo,Fire,30.256566,31.83473,2024-08-29,2024,8,29,4,48
Port Said,Pedestrian Accident,27.538134,34.435145,2020-02-08,2020,2,8,8,13
Giza,Vehicle Breakdown,30.462034,32.653281,2022-05-16,2022,5,16,3,49
Luxor,Overturn,24.710361,29.286497,2022-05-09,2022,5,9,20,50
Mansoura,Pedestrian Accident,22.565264,34.020126,2022-10-20,2022,10,20,19,34
Cairo,Vehicle Breakdown,27.175427,33.311266,2021-08-19,2021,8,19,13,0
Mansoura,Fire,24.165078,31.499406,2023-09-22,2023,9,22,21,5
Ismailia,Fire,22.609114,32.156357,2022-11-05,2022,11,5,16,35
Cairo,Pedestrian Accident,29.859983,29.261207,2022-03-03,2022,3,3,11,16
Cairo,Fire,29.09668,31.068815,2024-02-10,2024,2,10,21,40
Alexandria,Vehicle Breakdown,28.616683,30.995112,2020-03-31,2020,3,31,11,34
Aswan,Overturn,29.473453,33.108095,2023-11-25,2023,11,25,15,40
Giza,Overturn,22.567905,33.657142,2022-07-26,2022,7,26,1,18
Sharm El Sheikh,Collision,29.119983,34.314742,2021-10-08,2021,10,8,9,32
Suez,Vehicle Breakdown,26.260598,29.219725,2023-08-17,2023,8,17,6,18
Aswan,Collision,29.792184,30.991548,2020-09-11,2020,9,11,11,27
Suez,Pedestrian Accident,30.051737,31.319869,2021-01-17,2021,1,17,15,44
Port Said,Fire,30.318794,32.115655,2024-06-28,2024,6,28,2,46
Suez,Collision,25.875464,34.970589,2021-01-04,2021,1,4,17,18
Aswan,Collision,22.72062,32.965515,2021-09-19,2021,9,19,14,38
Suez,Overturn,28.207883,31.109282,2020-03-27,2020,3,27,23,55
Aswan,Vehicle Breakdown,30.983355,30.647332,2024-06-08,2024,6,8,1,4
Suez,Fire,26.617774,33.499388,2020-11-23,2020,11,23,0,9
Mansoura,Pedestrian Accident,22.313191,29.4034,2024-05-13,2024,5,13,20,23
Aswan,Pedestrian Accident,30.545204,29.194312,2020-11-10,2020,11,10,21,28
Aswan,Fire,25.995454,29.461313,2020-10-08,2020,10,8,16,23
Suez,Fire,27.846047,30.49767,2020-08-20,2020,8,20,0,47
Giza,Pedestrian Accident,26.659707,34.481255,2020-08-29,2020,8,29,8,49
Luxor,Pedestrian Accident,23.931134,32.671263,2023-11-22,2023,11,22,15,12
Alexandria,Overturn,29.675437,31.712256,2023-12-31,2023,12,31,14,5
Aswan,Fire,28.385864,32.299983,2021-08-17,2021,8,17,9,54
Giza,Overturn,29.143267,32.052534,2020-09-05,2020,9,5,6,50
Giza,Overturn,29.113358,29.157704,2023-02-08,2023,2,8,18,23
Port Said,Vehicle Breakdown,23.167941,34.305479,2020-05-14,2020,5,14,9,25
Port Said,Vehicle Breakdown,25.697156,31.456601,2023-03-23,2023,3,23,2,8
Aswan,Collision,26.04977,33.080654,2021-12-06,2021,12,6,4,56
Ismailia,Vehicle Breakdown,23.637668,34.797588,2022-06-05,2022,6,5,16,58
Cairo,Collision,26.662919,30.824747,2020-11-27,2020,11,27,10,59
Sharm El Sheikh,Fire,30.527348,32.113387,2021-08-04,2021,8,4,2,16
Sharm El Sheikh,Vehicle Breakdown,24.470059,32.750134,2023-06-12,2023,6,12,17,5
Ismailia,Overturn,27.326276,32.483879,2020-12-16,2020,12,16,21,39
Mansoura,Fire,29.58277,32.381708,2024-08-17,2024,8,17,0,5
Cairo,Vehicle Breakdown,24.381903,30.26485,2023-03-17,2023,3,17,13,39
Cairo,Pedestrian Accident,30.000972,32.273465,2023-08-07,2023,8,7,9,30
Sharm El Sheikh,Pedestrian Accident,24.676905,29.437838,2020-05-02,2020,5,2,5,28
Suez,Pedestrian Accident,26.179979,31.041155,2020-10-21,2020,10,21,10,55
Aswan,Fire,30.778367,29.784597,2022-01-28,2022,1,28,16,35
Alexandria,Fire,24.175641,29.735131,2022-07-09,2022,7,9,7,9
Alexandria,Collision,24.611908,31.304899,2023-06-14,2023,6,14,13,15
Giza,Fire,30.403764,33.326771,2021-01-23,2021,1,23,5,31
Ismailia,Pedestrian Accident,26.488837,30.851243,2020-02-17,2020,2,17,2,25
Ismailia,Pedestrian Accident,30.70018,30.290867,2021-12-23,2021,12,23,1,3
Luxor,Pedestrian Accident,27.377669,34.057098,2023-10-09,2023,10,9,15,18
Ismailia,Collision,29.624551,31.585567,2024-12-12,2024,12,12,8,46
Aswan,Pedestrian Accident,25.293436,31.40349,2023-03-13,2023,3,13,17,12
Aswan,Vehicle Breakdown,24.597415,31.318093,2022-07-11,2022,7,11,17,17
Mansoura,Vehicle Breakdown,23.069299,34.850497,2022-03-17,2022,3,17,11,50
Aswan,Vehicle Breakdown,30.450537,33.529791,2021-02-11,2021,2,11,19,32
Suez,Vehicle Breakdown,22.362294,29.233484,2024-01-01,2024,1,1,10,51
Port Said,Vehicle Breakdown,26.112897,32.637563,2022-11-21,2022,11,21,4,20
Mansoura,Fire,23.462518,34.943694,2024-02-23,2024,2,23,9,37
Aswan,Vehicle Breakdown,29.454604,32.194039,2023-12-22,2023,12,22,18,19
Port Said,Collision,25.31522,33.042838,2022-05-03,2022,5,3,18,19
Cairo,Vehicle Breakdown,26.271312,34.802424,2024-05-22,2024,5,22,18,36
Sharm El Sheikh,Collision,27.251709,30.023072,2023-07-12,2023,7,12,23,39
Suez,Overturn,29.394952,30.453179,2023-03-18,2023,3,18,22,7
Sharm El Sheikh,Collision,25.969347,31.512682,2022-04-25,2022,4,25,22,13
Suez,Vehicle Breakdown,28.974751,34.523126,2024-11-22,2024,11,22,23,46
Cairo,Overturn,26.668149,32.365321,2023-09-18,2023,9,18,15,33
Suez,Fire,30.610169,31.757981,2022-12-27,2022,12,27,10,34
Aswan,Fire,27.490689,30.153585,2021-05-19,2021,5,19,8,35
Luxor,Overturn,30.47337,34.893562,2024-04-28,2024,4,28,9,45
Sharm El Sheikh,Pedestrian Accident,24.853367,31.092819,2024-06-16,2024,6,16,23,17
Luxor,Collision,27.161291,32.259145,2022-03-19,2022,3,19,11,49
Giza,Fire,22.378598,34.731882,2020-06-10,2020,6,10,11,59
Port Said,Fire,28.726046,30.283921,2024-08-22,2024,8,22,17,17
Ismailia,Fire,23.235457,32.694062,2023-04-16,2023,4,16,7,15
Cairo,Vehicle Breakdown,24.031045,30.397019,2020-07-24,2020,7,24,13,21
Port Said,Collision,28.130728,29.824802,2023-02-01,2023,2,1,5,26
Port Said,Pedestrian Accident,27.854848,33.535466,2021-08-11,2021,8,11,10,18
Cairo,Collision,27.870689,30.393321,2024-02-21,2024,2,21,23,54
