Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
15:30:00,Monday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Collision with roadside-parked vehicles,0.0,0.0,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18:10:00,Thursday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Collision with roadside-parked vehicles,0.0,0.0,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
15:25:00,Thursday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Rollover,0.2,0.0,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury
15:25:00,Thursday,31-50,Unknown,Employee,No junction,Dry,Daylight,Normal,Collision with animals,0.2,0.0,Turnover,Not a Pedestrian,No distancing,Slight Injury
13:57:00,Saturday,Over 51,Male,Employee,O Shape,Dry,Daylight,Normal,Collision with animals,0.2,0.0,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:57:00,Saturday,18-30,Male,Employee,O Shape,Dry,Daylight,Normal,Fall from vehicles,0.2,0.0,Going straight,Unknown or other,No distancing,Slight Injury
20:30:00,Friday,18-30,Male,Employee,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,0.2,0.2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
20:30:00,Friday,Over 51,Male,Employee,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,0.2,0.2,Going straight,Not a Pedestrian,Other,Slight Injury
20:30:00,Friday,Over 51,Male,Unknown,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,0.2,0.2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
16:30:00,Sunday,Over 51,Male,Employee,No junction,Dry,Daylight,Normal,Collision with pedestrians,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
16:30:00,Sunday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
21:50:00,Sunday,31-50,Male,Unknown,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
21:50:00,Sunday,18-30,Male,Employee,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,0.2,0.2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
9:12:00,Wednesday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
9:12:00,Wednesday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
14:40:00,Friday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
10:36:00,Friday,31-50,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
10:36:00,Friday,31-50,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No distancing,Slight Injury
18:19:00,Monday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Rollover,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18:19:00,Monday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
19:12:00,Tuesday,18-30,Male,Owner,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
19:12:00,Tuesday,31-50,Male,Employee,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,Over 51,Male,Employee,No junction,Dry,Daylight,Normal,Collision with pedestrians,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,31-50,Male,Owner,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Going straight,Not a Pedestrian,No distancing,Slight Injury
11:38:00,Saturday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.4000000000000001,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
11:38:00,Saturday,18-30,Unknown,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Overtaking,Slight Injury
13:30:00,Thursday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Rollover,0.2,0.0,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:30:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No distancing,Slight Injury
12:39:00,Tuesday,18-30,Unknown,Employee,Unknown,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
12:39:00,Tuesday,Over 51,Male,Employee,Unknown,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
12:30:00,Friday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
12:30:00,Friday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Overtaking,Slight Injury
16:55:00,Sunday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Other,Slight Injury
16:55:00,Sunday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving to the left,Slight Injury
18:25:00,Monday,Unknown,Female,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
18:25:00,Monday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Unknown,Slight Injury
13:01:00,Thursday,31-50,Unknown,Employee,O Shape,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
13:01:00,Thursday,18-30,Male,Owner,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Unknown,Not a Pedestrian,No distancing,Slight Injury
13:45:00,Wednesday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Other,Slight Injury
13:45:00,Wednesday,31-50,Male,Other,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18:45:00,Monday,18-30,Male,Employee,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.0,Reversing,Not a Pedestrian,Changing lane to the left,Slight Injury
18:45:00,Monday,31-50,Male,Unknown,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
11:02:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,Overtaking,Slight Injury
11:02:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
11:02:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
11:02:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
15:55:00,Tuesday,Over 51,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Turnover,Not a Pedestrian,Changing lane to the right,Serious Injury
15:00:00,Wednesday,Over 51,Unknown,Unknown,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Sunday,31-50,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
20:00:00,Sunday,Under 18,Male,Owner,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18:48:00,Wednesday,31-50,Male,Employee,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
18:48:00,Wednesday,31-50,Male,Employee,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Overturning,Serious Injury
15:55:00,Sunday,Over 51,Male,Owner,Unknown,Dry,Daylight,Normal,Collision with roadside objects,0.0,0.2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
15:55:00,Sunday,Over 51,Male,Unknown,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.2,Turnover,Not a Pedestrian,No distancing,Slight Injury
23:25:00,Wednesday,Over 51,Unknown,Owner,Crossing,Dry,Darkness - lights lit,Normal,Rollover,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
23:25:00,Wednesday,Over 51,Male,Employee,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
23:25:00,Wednesday,31-50,Male,Owner,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
7:40:00,Monday,18-30,Unknown,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
7:40:00,Monday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No distancing,Serious Injury
15:17:00,Sunday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Reversing,Not a Pedestrian,Moving Backward,Fatal injury
15:17:00,Sunday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Moving Backward,Fatal injury
15:50:00,Monday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
15:50:00,Monday,18-30,Male,Owner,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
9:45:00,Sunday,Over 51,Male,Employee,Crossing,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,No distancing,Slight Injury
9:45:00,Sunday,Over 51,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
17:35:00,Thursday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
17:35:00,Thursday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
17:35:00,Thursday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
20:50:00,Sunday,18-30,Unknown,Employee,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
20:50:00,Sunday,Over 51,Male,Employee,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
21:32:00,Thursday,18-30,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.2,Going straight,Not a Pedestrian,No distancing,Slight Injury
21:32:00,Thursday,31-50,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.2,Going straight,Not a Pedestrian,Other,Slight Injury
19:55:00,Monday,18-30,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
19:55:00,Monday,18-30,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
16:10:00,Monday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Parked,Not a Pedestrian,No distancing,Slight Injury
16:10:00,Monday,Over 51,Male,Employee,Crossing,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,No distancing,Slight Injury
15:25:00,Monday,31-50,Unknown,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Going straight,Not a Pedestrian,Overturning,Slight Injury
23:36:00,Thursday,Under 18,Male,Employee,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,Driving at high speed,Serious Injury
23:36:00,Thursday,Under 18,Male,Employee,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
23:36:00,Thursday,Under 18,Male,Employee,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
23:36:00,Thursday,Under 18,Male,Employee,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,0.0,0.6000000000000001,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
20:00:00,Monday,Over 51,Male,Employee,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Turnover,Not a Pedestrian,Other,Slight Injury
20:00:00,Monday,31-50,Unknown,Employee,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,Other,Slight Injury
20:00:00,Monday,31-50,Male,Employee,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
17:54:00,Friday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Rollover,0.2,0.0,Unknown,Not a Pedestrian,No distancing,Slight Injury
17:54:00,Friday,31-50,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury
18:04:00,Monday,31-50,Unknown,Unknown,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
17:00:00,Friday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury
1:15:00,Saturday,Unknown,Female,Employee,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,0.2,0.4000000000000001,Turnover,Not a Pedestrian,No distancing,Slight Injury
1:15:00,Saturday,18-30,Unknown,Employee,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Other,Slight Injury
1:15:00,Saturday,18-30,Male,Employee,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
1:15:00,Saturday,18-30,Male,Owner,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.4000000000000001,Unknown,Not a Pedestrian,No distancing,Slight Injury
18:30:00,Wednesday,31-50,Male,Employee,No junction,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
18:30:00,Wednesday,18-30,Male,Employee,No junction,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No distancing,Slight Injury
15:52:00,Friday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
15:52:00,Friday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
15:52:00,Friday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.4000000000000001,0.0,Reversing,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:33:00,Tuesday,18-30,Male,Employee,Other,Dry,Daylight,Normal,Collision with roadside objects,0.0,0.0,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
8:59:00,Monday,Under 18,Unknown,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
8:59:00,Monday,Over 51,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Turnover,Slight Injury
17:25:00,Saturday,31-50,Male,Employee,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Turnover,Not a Pedestrian,Driving to the left,Slight Injury
0:53:00,Sunday,18-30,Male,Employee,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.0,0.4000000000000001,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury
0:53:00,Sunday,18-30,Male,Employee,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.0,0.4000000000000001,Going straight,Not a Pedestrian,Driving to the left,Slight Injury
0:53:00,Sunday,18-30,Male,Employee,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,0.0,0.4000000000000001,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
15:20:00,Wednesday,31-50,Male,Owner,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Turnover,Not a Pedestrian,No priority to pedestrian,Slight Injury
18:23:00,Saturday,Under 18,Male,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,0.2,0.0,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury
18:23:00,Saturday,18-30,Male,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,0.2,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
5:24:00,Friday,31-50,Male,Employee,No junction,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,0.0,0.0,Going straight,Not a Pedestrian,Moving Backward,Serious Injury
12:15:00,Saturday,18-30,Unknown,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
22:15:00,Friday,31-50,Male,Owner,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,0.0,0.0,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury
6:35:00,Friday,31-50,Male,Employee,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
6:35:00,Friday,31-50,Male,Employee,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
17:34:00,Thursday,Under 18,Male,Employee,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,0.0,0.2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
17:34:00,Thursday,Under 18,Male,Employee,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,0.0,0.2,Parked,Not a Pedestrian,Changing lane to the right,Serious Injury
4:00:00,Friday,18-30,Unknown,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,0.0,0.6000000000000001,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
4:00:00,Friday,18-30,Male,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,0.0,0.6000000000000001,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
4:00:00,Friday,18-30,Male,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,0.0,0.6000000000000001,Unknown,Not a Pedestrian,Overtaking,Slight Injury
