Location,Accident_Type,Latitude,Longitude,Year,Month,Day,Hour,Minute
Sharm El Sheikh,Minor,29.638620777871417,31.961555984963223,2022.0,4.0,17.0,17.0,0.0
Giza,Moderate,31.35662665160546,26.884490234835216,2022.0,12.0,8.0,10.0,0.0
Luxor,Minor,25.702430491149123,,2023.0,3.0,11.0,4.0,0.0
Giza,Severe,31.437811724540737,33.99683671596617,2022.0,5.0,12.0,13.0,0.0
Giza,Fatal,26.31493616224251,11.75059171631297,2022.0,1.0,26.0,21.0,0.0
Cairo,Fatal,31.293039690049497,25.277421155627692,2024.0,6.0,13.0,13.0,0.0
Luxor,Minor,24.282481384374304,31.404080212974844,2024.0,8.0,5.0,12.0,0.0
Cairo,Moderate,23.343820943911236,27.570659969961454,2022.0,5.0,24.0,6.0,0.0
Luxor,Fatal,,32.960755290540945,2020.0,4.0,3.0,12.0,0.0
Luxor,Minor,23.02424056119623,28.76118707518063,2022.0,11.0,12.0,13.0,0.0
Luxor,Minor,29.117433533454253,29.921450148274566,2020.0,5.0,25.0,8.0,0.0
Giza,Moderate,28.747070635273936,26.33270705626456,2020.0,1.0,8.0,21.0,0.0
Alexandria,Moderate,29.107330305481508,33.00071756691368,2020.0,6.0,10.0,12.0,0.0
Aswan,Moderate,27.04006507322235,27.832595044687515,2023.0,11.0,23.0,21.0,0.0
Aswan,Minor,25.9539846442715,32.94988261944617,2024.0,9.0,17.0,8.0,0.0
Cairo,Moderate,26.185135333838396,27.018903376878633,2020.0,11.0,21.0,19.0,0.0
Luxor,Fatal,30.705248839631217,33.54580138651544,2024.0,4.0,28.0,4.0,0.0
Giza,Moderate,31.460726496107675,,2021.0,4.0,25.0,19.0,0.0
Alexandria,Fatal,22.84416969607192,26.558667603830976,2022.0,12.0,15.0,9.0,0.0
Giza,Moderate,27.150991423106383,27.482826706227435,2023.0,9.0,15.0,14.0,0.0
Luxor,Fatal,22.073623945030185,33.9158478573946,2021.0,9.0,25.0,15.0,0.0
Luxor,Moderate,25.652846552979046,31.117169119275346,2021.0,7.0,14.0,1.0,0.0
Aswan,Minor,24.33742819351272,32.552189887043994,2021.0,6.0,10.0,11.0,0.0
Alexandria,Minor,23.29603561987671,34.18637276433948,,9.0,8.0,1.0,
Cairo,Moderate,26.342077934589845,31.66609842582192,2020.0,12.0,6.0,12.0,0.0
Giza,Moderate,25.38910472378572,32.99724232942159,2020.0,5.0,7.0,7.0,
Giza,Moderate,23.98164298471188,30.389397779409364,2020.0,9.0,,3.0,0.0
Luxor,Minor,31.372719996988657,34.70487260947865,2023.0,4.0,29.0,21.0,
Sharm El Sheikh,Moderate,24.54332859718461,28.07428806789399,2024.0,5.0,2.0,15.0,0.0
Sharm El Sheikh,Minor,27.32726907961446,,2021.0,10.0,21.0,11.0,
Alexandria,Severe,25.104027664836146,34.30973975249026,2021.0,8.0,12.0,15.0,0.0
Cairo,Severe,23.86305592805681,26.052195760961226,2020.0,6.0,18.0,11.0,0.0
Sharm El Sheikh,Minor,29.075480045212352,30.581468164248832,2020.0,6.0,,22.0,0.0
Giza,Moderate,28.98836108179572,30.81005644192164,2020.0,3.0,23.0,5.0,0.0
Aswan,Fatal,26.72439062305778,25.159523996443745,2023.0,7.0,30.0,0.0,0.0
Luxor,Severe,26.902438861293106,32.7992784308224,2024.0,9.0,1.0,4.0,0.0
Sharm El Sheikh,Severe,31.16005166976108,34.460696286362925,2024.0,1.0,26.0,18.0,0.0
Alexandria,Severe,30.572715149049188,10.06134983849045,2020.0,9.0,13.0,11.0,0.0
Sharm El Sheikh,Severe,28.1567633990876,27.439509573378047,,,16.0,21.0,0.0
Luxor,Fatal,,34.52236798630351,2022.0,3.0,24.0,21.0,0.0
Giza,Minor,27.39497780550841,10.577747593696904,2022.0,2.0,24.0,20.0,0.0
Giza,Moderate,41.80724232488021,27.945089638961285,2020.0,7.0,14.0,3.0,0.0
Cairo,Moderate,30.299312015181467,32.40518203859078,2024.0,5.0,10.0,10.0,0.0
Alexandria,Fatal,30.776910420077044,30.21989861299751,2020.0,7.0,1.0,23.0,0.0
Alexandria,Fatal,29.162993510781728,33.85638565068771,2022.0,6.0,7.0,1.0,0.0
Giza,Moderate,27.191064676431886,26.17257536134576,2024.0,3.0,12.0,21.0,0.0
Cairo,Minor,23.153833035049317,34.15251671650121,2022.0,4.0,1.0,14.0,
Giza,Severe,30.011731129303215,30.878345076689,2020.0,5.0,14.0,19.0,0.0
Aswan,Moderate,31.1465322195208,29.955959299536843,2023.0,3.0,8.0,6.0,0.0
Giza,Moderate,22.400652277206447,29.779183285649154,2024.0,8.0,27.0,15.0,0.0
Aswan,Fatal,28.590054501289647,32.20496490837683,2023.0,6.0,10.0,2.0,
Sharm El Sheikh,Moderate,28.18791693093373,33.1128161480901,2023.0,4.0,21.0,6.0,0.0
Cairo,Minor,,31.92908216791966,2022.0,5.0,8.0,7.0,0.0
Cairo,Severe,24.695410056025477,13.125319801046237,2020.0,2.0,16.0,21.0,0.0
Sharm El Sheikh,Severe,29.15509698689843,25.786158419770288,2022.0,9.0,25.0,15.0,0.0
Giza,Severe,30.87460958309073,29.530718127758632,2022.0,3.0,21.0,6.0,0.0
Sharm El Sheikh,Minor,28.060241809899203,28.471933812210366,2024.0,4.0,30.0,16.0,0.0
Luxor,Severe,,34.70270095193874,2022.0,3.0,3.0,22.0,0.0
Alexandria,Moderate,31.01967553026701,34.58222039471306,2021.0,4.0,18.0,9.0,0.0
Cairo,Severe,25.082428465652427,27.971294408190698,,6.0,15.0,6.0,0.0
Sharm El Sheikh,Severe,26.840276010186084,34.16896218441904,,1.0,13.0,,0.0
Giza,Fatal,29.145355104229278,26.420174949414832,2021.0,2.0,10.0,23.0,0.0
Luxor,Fatal,24.72194712517595,29.31942478237862,2020.0,8.0,17.0,16.0,0.0
Aswan,Fatal,26.658693292059425,25.349017264550177,2022.0,11.0,25.0,22.0,0.0
Luxor,Severe,22.503774544746364,28.936468483629156,2023.0,5.0,9.0,6.0,0.0
Aswan,Moderate,,27.746167384849755,,6.0,10.0,22.0,0.0
Sharm El Sheikh,Fatal,22.54099787023968,33.807701619099134,2020.0,4.0,30.0,,0.0
Giza,Fatal,27.382873785396427,25.168808397491162,2021.0,5.0,24.0,12.0,0.0
Sharm El Sheikh,Severe,29.202334114239065,28.053680037345956,2024.0,8.0,19.0,9.0,0.0
Aswan,Moderate,26.3785306765543,31.09749580501346,2021.0,1.0,13.0,0.0,0.0
Luxor,Moderate,28.058081172077998,27.08339689286294,2020.0,3.0,22.0,14.0,0.0
Sharm El Sheikh,Minor,24.84057334985979,28.838249867169445,2020.0,9.0,14.0,6.0,
Sharm El Sheikh,Fatal,27.72232892121654,32.547340856222384,2023.0,7.0,8.0,12.0,0.0
Aswan,Fatal,24.03325559920603,33.00482229579523,2020.0,,5.0,14.0,0.0
Sharm El Sheikh,Fatal,27.592283449026112,,2023.0,7.0,26.0,15.0,0.0
Cairo,Moderate,,25.172785694653648,2020.0,5.0,25.0,17.0,0.0
Giza,Moderate,26.948993921655614,,2022.0,10.0,29.0,8.0,
Sharm El Sheikh,Minor,30.194531892127152,28.861085536378738,2021.0,11.0,1.0,2.0,0.0
Sharm El Sheikh,Fatal,28.582860849515207,14.271772600655998,2024.0,,9.0,23.0,0.0
Sharm El Sheikh,Moderate,28.98711310617381,25.058773827784393,2024.0,1.0,17.0,17.0,0.0
Cairo,Moderate,29.64863500970623,28.856398056628592,2021.0,5.0,26.0,23.0,
Aswan,Minor,29.51076160511819,30.311805188589485,2024.0,2.0,29.0,23.0,0.0
Alexandria,Moderate,23.21216921558474,33.77045718514575,,5.0,14.0,13.0,0.0
Luxor,Moderate,,27.3122076266394,2021.0,6.0,26.0,22.0,0.0
Aswan,Fatal,24.593013505617364,32.57842091157517,2024.0,,27.0,8.0,0.0
Sharm El Sheikh,Moderate,23.306866568210665,27.36320080331832,2020.0,4.0,11.0,,0.0
Alexandria,Severe,26.899727425426278,29.279105762288125,2024.0,2.0,16.0,0.0,0.0
Luxor,Severe,,34.85517726605178,2023.0,,20.0,,0.0
Giza,Moderate,29.151598150055747,33.51752613544616,2023.0,4.0,5.0,9.0,0.0
Sharm El Sheikh,Fatal,26.95374630143091,26.254987911260123,2021.0,,9.0,10.0,0.0
Alexandria,Minor,25.415602846736213,27.148993075851692,,,2.0,10.0,0.0
Giza,Severe,30.402006965360783,26.73884732674081,2020.0,3.0,12.0,12.0,0.0
Alexandria,Severe,24.189495548205603,28.174327936085056,2022.0,10.0,2.0,12.0,0.0
Luxor,Minor,29.055461921720322,26.86616416296735,2024.0,10.0,24.0,14.0,0.0
Aswan,Moderate,27.1735897572327,34.64828295518069,2023.0,3.0,14.0,2.0,0.0
Sharm El Sheikh,Minor,24.186607688988797,32.95284190107017,2024.0,1.0,13.0,11.0,0.0
Giza,Severe,29.11563281045864,30.174847590996293,2024.0,2.0,2.0,5.0,0.0
Luxor,Severe,29.04948225975817,31.50529475910873,2020.0,12.0,16.0,13.0,0.0
Aswan,Minor,25.738751637044874,25.73509629621396,2024.0,7.0,30.0,9.0,0.0
Alexandria,Minor,29.852206461454266,26.150934566224098,2023.0,12.0,18.0,12.0,0.0
Aswan,Moderate,27.981074903712685,34.006014806398575,2020.0,9.0,8.0,18.0,0.0
Cairo,Moderate,27.591498388850653,27.62757587435911,2020.0,12.0,7.0,0.0,0.0
Alexandria,Severe,31.1390814112736,34.117795253693544,2020.0,12.0,27.0,20.0,0.0
Aswan,Moderate,28.567351652786236,34.40448145541533,2023.0,3.0,2.0,,0.0
Giza,Severe,27.483701996818397,30.82983881111568,2022.0,4.0,7.0,8.0,0.0
Luxor,Fatal,27.891703715552836,25.560417138462736,2022.0,12.0,29.0,3.0,0.0
Alexandria,Fatal,28.790737375424783,33.52946100835511,2023.0,2.0,12.0,12.0,0.0
Cairo,Moderate,27.824066796743484,26.383324479847655,2024.0,3.0,1.0,6.0,0.0
Sharm El Sheikh,Minor,27.0658867407803,25.47378390907272,2020.0,8.0,26.0,18.0,0.0
Cairo,Severe,25.23822386560686,25.47680603302531,2021.0,2.0,2.0,,0.0
Sharm El Sheikh,Severe,29.483694233193745,31.379262379195687,2020.0,10.0,25.0,5.0,0.0
Giza,Minor,25.428089370444535,34.55857388887513,,1.0,31.0,16.0,0.0
Aswan,Severe,22.42174311779542,34.34729049854036,2020.0,7.0,23.0,14.0,0.0
Sharm El Sheikh,Fatal,22.16628371186137,33.21158580189962,2021.0,3.0,4.0,15.0,0.0
Alexandria,Severe,24.916876626133813,30.544190764429832,2022.0,4.0,20.0,21.0,0.0
Sharm El Sheikh,Severe,23.010090279273992,30.296350229270445,2021.0,7.0,13.0,17.0,0.0
Alexandria,Severe,24.40061282383138,28.26394662248596,2024.0,8.0,18.0,8.0,0.0
Sharm El Sheikh,Moderate,29.674331889101964,28.64453755407481,2023.0,5.0,8.0,23.0,0.0
Giza,Minor,,26.13890826310095,2024.0,2.0,29.0,10.0,0.0
Cairo,Fatal,29.06299565621105,26.373059573260385,2023.0,11.0,28.0,15.0,0.0
Alexandria,Fatal,24.47067076768878,33.48645902828291,2020.0,7.0,5.0,11.0,0.0
Alexandria,Moderate,27.75451756873102,28.45690646095776,2022.0,10.0,25.0,,0.0
Sharm El Sheikh,Minor,29.97511088656201,26.844180372424674,2020.0,12.0,11.0,2.0,0.0
Luxor,Severe,25.280322943985798,29.678657546532683,2021.0,7.0,28.0,,0.0
Aswan,Fatal,23.485452610602167,34.54307653619426,2024.0,4.0,5.0,12.0,
Aswan,Severe,,31.644528407718155,2024.0,7.0,8.0,22.0,0.0
Luxor,Moderate,29.063407740669966,25.165297805495012,2021.0,11.0,5.0,7.0,0.0
Luxor,Moderate,23.98262966338386,30.41783862943886,2020.0,6.0,21.0,1.0,0.0
Luxor,Fatal,29.49554084755985,34.893608821395155,2023.0,3.0,26.0,9.0,0.0
Sharm El Sheikh,Minor,29.902251671918222,11.991312682636192,2021.0,7.0,,21.0,0.0
Cairo,Fatal,29.277916805375074,29.397421988542106,2024.0,4.0,2.0,21.0,0.0
Aswan,Minor,24.416746032649762,27.77575672997285,2023.0,4.0,24.0,1.0,0.0
Cairo,Moderate,25.93974315532879,,2020.0,5.0,,12.0,0.0
Luxor,Fatal,27.353356323884466,32.11389559470814,2024.0,11.0,,5.0,
Luxor,Minor,27.007938804472705,32.00548818957487,2023.0,7.0,,0.0,0.0
Cairo,Fatal,23.612675461523253,34.69891608268942,2023.0,3.0,22.0,16.0,0.0
Alexandria,Fatal,22.975435815204268,32.75732806093917,2024.0,5.0,30.0,19.0,0.0
Cairo,Severe,25.577773371095432,11.094696686072684,2024.0,8.0,30.0,20.0,0.0
Sharm El Sheikh,Fatal,29.65156839741917,28.73887131095917,2024.0,7.0,1.0,22.0,0.0
Giza,Severe,26.5907964227332,14.30037182394162,2023.0,11.0,2.0,6.0,0.0
Luxor,Minor,29.909675203830986,28.976683850749104,2023.0,8.0,6.0,1.0,0.0
Giza,Minor,23.096433607690102,33.95774765382875,2022.0,8.0,20.0,18.0,0.0
Aswan,Fatal,26.127169063223942,32.611655502755944,2024.0,5.0,7.0,10.0,0.0
Sharm El Sheikh,Fatal,24.760525044520378,27.510538205965695,2024.0,10.0,24.0,5.0,0.0
Aswan,Minor,23.11095923468189,33.83777014108447,2024.0,3.0,3.0,4.0,0.0
Alexandria,Minor,26.75993506530743,25.224533063676194,2021.0,8.0,16.0,17.0,0.0
Cairo,Minor,30.23251332079736,29.650916259775435,2024.0,12.0,22.0,,0.0
Sharm El Sheikh,Moderate,22.431607132620414,33.9320436769309,2021.0,5.0,5.0,9.0,0.0
Sharm El Sheikh,Severe,,30.212984082857986,2023.0,10.0,28.0,9.0,0.0
Aswan,Minor,28.797340338253786,29.305999848854025,2022.0,12.0,24.0,7.0,0.0
Alexandria,Minor,23.799849525058587,34.14187419557483,2021.0,10.0,14.0,,0.0
Giza,Fatal,24.488980160402466,29.704347394369744,2020.0,12.0,,2.0,0.0
Sharm El Sheikh,Fatal,24.20277874916656,27.502448371178687,2021.0,8.0,20.0,10.0,0.0
Aswan,Moderate,,30.171956379141115,2022.0,12.0,24.0,,0.0
Aswan,Moderate,25.042115316444548,34.091259833144605,2022.0,4.0,21.0,,0.0
Cairo,Minor,24.180767535321724,31.56218083057389,2022.0,1.0,15.0,6.0,0.0
Giza,Minor,26.135572443386575,28.11700644772688,2023.0,6.0,,5.0,0.0
Giza,Severe,27.50670716839486,34.31617547288984,2021.0,12.0,7.0,3.0,0.0
Aswan,Moderate,23.65114239899977,32.90465372097083,2020.0,7.0,9.0,18.0,0.0
Giza,Severe,22.451695018879565,31.36370463425803,2020.0,4.0,22.0,14.0,0.0
Sharm El Sheikh,Fatal,30.102535416489435,29.55961628430717,2024.0,1.0,12.0,,0.0
Alexandria,Moderate,30.536119147767366,32.573454273643826,2021.0,2.0,23.0,3.0,0.0
Cairo,Moderate,26.723750219983025,27.81248901411105,2020.0,8.0,4.0,12.0,0.0
Giza,Fatal,25.660626740673585,30.161243391578395,2023.0,10.0,26.0,7.0,
Giza,Moderate,27.257411296056134,26.88898656519692,2023.0,10.0,7.0,1.0,0.0
Aswan,Moderate,29.904787221221437,29.57441979868603,2022.0,11.0,29.0,6.0,0.0
Luxor,Severe,22.34657279075324,30.29132433472743,2022.0,9.0,28.0,14.0,0.0
Sharm El Sheikh,Minor,23.418159420556787,31.72635583911238,2023.0,6.0,18.0,14.0,0.0
Alexandria,Fatal,30.434555446831478,31.04929964482827,2023.0,9.0,27.0,5.0,0.0
Sharm El Sheikh,Moderate,25.36783675901477,34.12758529395509,2024.0,10.0,11.0,4.0,
Giza,Minor,22.278113099013517,34.159572106601956,2024.0,8.0,24.0,13.0,0.0
Luxor,Severe,30.46233295780785,27.03392298940656,2024.0,12.0,9.0,19.0,0.0
Cairo,Minor,27.13898565066139,28.89086268745128,2024.0,7.0,7.0,19.0,0.0
Giza,Severe,28.6441007611677,28.056960350448776,2024.0,6.0,10.0,18.0,0.0
Luxor,Severe,31.26425514540194,31.5707681078217,2024.0,3.0,11.0,0.0,0.0
Luxor,Fatal,24.177691585616934,32.26489996497783,2024.0,3.0,5.0,5.0,0.0
Luxor,Moderate,26.339911595355233,,2024.0,7.0,6.0,4.0,0.0
Alexandria,Fatal,30.624616086603872,31.64771190976542,2021.0,4.0,7.0,16.0,0.0
Aswan,Moderate,27.305321835365923,28.24956248810044,2020.0,5.0,4.0,21.0,0.0
Cairo,Minor,24.241971832437738,,2020.0,3.0,3.0,8.0,0.0
Alexandria,Minor,29.072458126127884,25.84572944449844,2022.0,5.0,26.0,9.0,
Cairo,Severe,22.221735243864718,,2020.0,3.0,28.0,20.0,0.0
Luxor,Fatal,40.44698790949024,29.80909210620428,2023.0,3.0,31.0,2.0,0.0
Luxor,Minor,25.212864591218782,28.44860154710573,2024.0,8.0,4.0,7.0,0.0
Alexandria,Fatal,24.66208433577145,33.83257476620949,2024.0,5.0,17.0,4.0,0.0
Giza,Fatal,26.57398776501841,25.666991363030405,2024.0,5.0,31.0,3.0,0.0
Aswan,Minor,26.815739816875094,30.567684664809235,2020.0,11.0,20.0,13.0,0.0
Giza,Moderate,24.600749118045666,29.37157076557183,2020.0,9.0,30.0,13.0,0.0
Sharm El Sheikh,Fatal,23.598455474643156,,2020.0,12.0,3.0,4.0,0.0
Sharm El Sheikh,Severe,22.680691161981507,28.61421409846342,2024.0,6.0,9.0,16.0,0.0
Luxor,Severe,24.28062615829763,34.28174051602889,2024.0,11.0,25.0,14.0,0.0
Luxor,Fatal,25.829590023849775,31.975077054468304,2021.0,2.0,17.0,11.0,0.0
Alexandria,Fatal,41.976501627144096,27.92723715635771,2022.0,10.0,11.0,0.0,0.0
Aswan,Moderate,30.91750589030783,28.225728696466817,2020.0,,13.0,22.0,0.0
Cairo,Moderate,23.856899959472933,33.37202616211687,2021.0,10.0,28.0,22.0,0.0
Sharm El Sheikh,Minor,26.74674585679661,33.355772464231514,2023.0,1.0,17.0,14.0,0.0
Sharm El Sheikh,Minor,41.28071984567577,26.256498216465463,2024.0,11.0,11.0,10.0,0.0
Cairo,Fatal,26.79631330238847,26.233876830479474,2024.0,11.0,4.0,12.0,0.0
Luxor,Moderate,23.40160870898298,34.765578879245254,2023.0,10.0,11.0,3.0,0.0
Alexandria,Fatal,30.77378909375318,26.59674830652975,2024.0,2.0,2.0,13.0,0.0
Sharm El Sheikh,Fatal,26.43264616104161,34.10783914900976,2022.0,5.0,20.0,6.0,0.0
Luxor,Moderate,25.396014615077515,30.662850581310053,,8.0,26.0,12.0,0.0
Aswan,Severe,27.255092280437665,34.30879665107956,2022.0,8.0,24.0,18.0,0.0
Sharm El Sheikh,Severe,26.103986185181192,32.3111661498308,2024.0,10.0,16.0,10.0,0.0
Alexandria,Severe,22.72028034358217,26.68570222721482,2023.0,11.0,23.0,16.0,0.0
Giza,Moderate,30.111585118551098,33.13431472918067,2023.0,7.0,31.0,14.0,0.0
Sharm El Sheikh,Fatal,29.78152194195695,32.76019527246243,,4.0,16.0,14.0,0.0
Luxor,Moderate,30.350568751060155,33.63154316110142,2020.0,2.0,22.0,13.0,0.0
Aswan,Moderate,22.80563968982177,25.716006336259063,2022.0,12.0,25.0,6.0,0.0
Cairo,Minor,22.920075550247887,28.86755039055296,2022.0,10.0,28.0,8.0,0.0
Aswan,Fatal,30.98382183494645,30.53822282851575,2023.0,,29.0,,0.0
Cairo,Moderate,31.40531460164948,34.73934050029594,2024.0,11.0,9.0,2.0,0.0
Luxor,Severe,22.317005694495936,30.060900353881962,2022.0,5.0,1.0,9.0,0.0
Sharm El Sheikh,Minor,29.00049381873226,31.179924264347,2024.0,5.0,24.0,18.0,
Aswan,Severe,22.88857895537425,29.414059078647515,2020.0,5.0,2.0,,0.0
Giza,Severe,31.057304524153224,27.87416393288018,2021.0,10.0,26.0,1.0,0.0
Alexandria,Fatal,26.238429335105643,,2023.0,,16.0,15.0,0.0
Giza,Minor,27.43237281654617,27.153555168239357,2022.0,11.0,,13.0,0.0
Luxor,Moderate,41.653346054632074,26.83247705198022,2021.0,9.0,7.0,4.0,0.0
Aswan,Fatal,27.11023299749593,32.997965310763966,2023.0,11.0,11.0,22.0,0.0
Aswan,Severe,27.030716855558577,25.846495536533542,2020.0,6.0,20.0,18.0,0.0
Cairo,Moderate,28.564845805815423,30.801090212205878,2022.0,5.0,10.0,17.0,0.0
Aswan,Minor,25.24701768617179,33.43072684353595,2024.0,1.0,11.0,19.0,0.0
Cairo,Severe,24.767488527291256,34.95511161196671,2022.0,12.0,30.0,21.0,0.0
Giza,Severe,30.43730945430414,28.148022535623436,2021.0,10.0,19.0,9.0,0.0
Luxor,Fatal,30.45728974384322,32.749550901751505,2023.0,10.0,22.0,20.0,0.0
Giza,Fatal,25.876988752974132,,2020.0,11.0,23.0,20.0,0.0
Alexandria,Moderate,24.29990394366881,33.99438582462014,2021.0,4.0,22.0,11.0,0.0
Cairo,Severe,27.428338883367545,32.42955117331988,2022.0,7.0,9.0,8.0,0.0
